movie_id,credit_id,department,gender,job,name
19995,52fe48009251416c750aca23,Editing,0,Editor,Stephen E. Rivkin
19995,539c47ecc3a36810e3001f87,Art,2,Production Design,Rick Carter
19995,54491c89c3a3680fb4001cf7,Sound,0,Sound Designer,Christopher Boyes
19995,54491cb70e0a267480001bd0,Sound,0,Supervising Sound Editor,Christopher Boyes
19995,539c4a4cc3a36810c9002101,Production,1,Casting,Mali Finn
19995,5544ee3b925141499f0008fc,Sound,2,Original Music Composer,James Horner
19995,52fe48009251416c750ac9c3,Directing,2,Director,James Cameron
19995,52fe48009251416c750ac9d9,Writing,2,Writer,James Cameron
19995,52fe48009251416c750aca17,Editing,2,Editor,James Cameron
19995,52fe48009251416c750aca29,Production,2,Producer,James Cameron
19995,52fe48009251416c750aca3f,Writing,2,Screenplay,James Cameron
19995,539c4987c3a36810ba0021a4,Art,2,Art Direction,Andrew Menzies
19995,549598c3c3a3686ae9004383,Visual Effects,0,Visual Effects Producer,Jill Brooks
19995,52fe48009251416c750aca4b,Production,1,Casting,Margery Simkin
19995,570b6f419251417da70032fe,Art,2,Supervising Art Director,Kevin Ishioka
19995,5495a0fac3a3686ae9004468,Sound,0,Music Editor,Dick Bernstein
19995,54959706c3a3686af3003e81,Sound,0,Sound Effects Editor,Shannon Mills
19995,54491d58c3a3680fb1001ccb,Sound,0,Foley,Dennie Thorpe
19995,54491d6cc3a3680fa5001b2c,Sound,0,Foley,Jana Vance
19995,52fe48009251416c750aca57,Costume & Make-Up,1,Costume Design,Deborah Lynn Scott
19995,52fe48009251416c750aca2f,Production,2,Producer,Jon Landau
19995,539c4937c3a36810ba002194,Art,0,Art Direction,Sean Haworth
19995,539c49b6c3a36810c10020e6,Art,1,Set Decoration,Kim Sinclair
19995,570b6f2f9251413a0e00020d,Art,1,Supervising Art Director,Kim Sinclair
19995,54491a6c0e0a26748c001b19,Art,2,Set Designer,Richard F. Mays
19995,56928cf4c3a3684cff0025c4,Production,1,Executive Producer,Laeta Kalogridis
19995,52fe48009251416c750aca51,Costume & Make-Up,0,Costume Design,Mayes C. Rubeo
19995,52fe48009251416c750aca11,Camera,2,Director of Photography,Mauro Fiore
19995,5449194d0e0a26748f001b39,Art,0,Set Designer,Scott Herbertson
19995,52fe48009251416c750aca05,Crew,0,Stunts,Woody Schultz
19995,5592aefb92514152de0010f5,Costume & Make-Up,0,Makeup Artist,Linda DeVetta
19995,5592afa492514152de00112c,Costume & Make-Up,0,Hairstylist,Linda DeVetta
19995,54959ed592514130fc002e5d,Camera,2,Camera Operator,Richard Bluck
19995,539c4891c3a36810ba002147,Art,2,Art Direction,Simon Bright
19995,54959c069251417a81001f3a,Visual Effects,0,Visual Effects Supervisor,Richard Martin
19995,54959a0dc3a3680ff5002c8d,Crew,2,Visual Effects Editor,Steve R. Moore
19995,52fe48009251416c750aca1d,Editing,2,Editor,John Refoua
19995,54491a4dc3a3680fc30018ca,Art,0,Set Designer,Karl J. Martin
19995,52fe48009251416c750aca35,Camera,1,Director of Photography,Chiling Lin
19995,52fe48009251416c750ac9ff,Crew,0,Stunts,Ilram Choi
19995,54959c529251416e2b004394,Visual Effects,2,Visual Effects Supervisor,Steven Quale
19995,54491edf0e0a267489001c37,Crew,1,Dialect Coach,Carla Meyer
19995,539c485bc3a368653d001a3a,Art,2,Art Direction,Nick Bassett
19995,539c4903c3a368653d001a74,Art,0,Art Direction,Jill Cormack
19995,539c4967c3a368653d001a94,Art,0,Art Direction,Andy McLaren
19995,52fe48009251416c750aca45,Crew,0,Motion Capture Artist,Terry Notary
19995,54959e02c3a3680fc60027d2,Crew,2,Stunt Coordinator,Garrett Warren
19995,54959ca3c3a3686ae300438c,Visual Effects,2,Visual Effects Supervisor,Jonathan Rothbart
19995,570b6f519251412c74001b2f,Art,0,Supervising Art Director,Stefan Dechant
19995,570b6f62c3a3680b77007460,Art,2,Supervising Art Director,Todd Cherniawsky
19995,539c4a3ac3a36810da0021cc,Production,0,Casting,Miranda Rivers
19995,539c482cc3a36810c1002062,Art,0,Production Design,Robert Stromberg
19995,539c4b65c3a36810c9002125,Costume & Make-Up,2,Costume Design,John Harding
19995,54959e6692514130fc002e4e,Camera,0,Steadicam Operator,Roberto De Angelis
19995,539c49f1c3a368653d001aac,Costume & Make-Up,2,Makeup Department Head,Mike Smithson
19995,5495999ec3a3686ae100460c,Visual Effects,0,Visual Effects Producer,Alain Lalanne
19995,54959cdfc3a3681153002729,Visual Effects,0,Visual Effects Supervisor,Lucas Salton
19995,549596239251417a81001eae,Crew,0,Post Production Supervisor,Janace Tashjian
19995,54959c859251416e1e003efe,Visual Effects,0,Visual Effects Supervisor,Stephen Rosenbaum
19995,5592af28c3a368775a00105f,Costume & Make-Up,0,Makeup Artist,Frankie Karena
19995,539c4adfc3a36810e300203b,Costume & Make-Up,1,Costume Supervisor,Lisa Lovaas
19995,54959b579251416e2b004371,Visual Effects,0,Visual Effects Supervisor,Jonathan Fawkner
19995,539c48a7c3a36810b5001fa7,Art,0,Art Direction,Robert Bavin
19995,539c4a71c3a36810da0021e0,Costume & Make-Up,0,Costume Supervisor,Anthony Almaraz
19995,539c4a8ac3a36810ba0021e4,Costume & Make-Up,0,Costume Supervisor,Carolyn M. Fenton
19995,539c4ab6c3a36810da0021f0,Costume & Make-Up,0,Costume Supervisor,Beth Koenigsberg
19995,54491ab70e0a267480001ba2,Art,0,Set Designer,Sam Page
19995,544919d9c3a3680fc30018bd,Art,0,Set Designer,Tex Kadonaga
19995,54491cf50e0a267483001b0c,Editing,0,Dialogue Editor,Kim Foscato
19995,544919f40e0a26748c001b09,Art,0,Set Designer,Tammy S. Lee
19995,5495a115c3a3680ff5002d71,Crew,0,Transportation Coordinator,Denny Caira
19995,5495a12f92514130fc002e94,Crew,0,Transportation Coordinator,James Waitkus
19995,5495976fc3a36811530026b0,Sound,0,Supervising Sound Editor,Addison Teague
19995,54491837c3a3680fb1001c5a,Art,2,Set Designer,C. Scott Baker
19995,54491878c3a3680fb4001c9d,Art,0,Set Designer,Luke Caska
19995,544918dac3a3680fa5001ae0,Art,0,Set Designer,David Chow
19995,544919110e0a267486001b68,Art,0,Set Designer,Jonathan Dyer
19995,54491967c3a3680faa001b5e,Art,0,Set Designer,Joseph Hiura
19995,54491997c3a3680fb1001c8a,Art,0,Art Department Coordinator,Rebecca Jellie
19995,544919ba0e0a26748f001b42,Art,0,Set Designer,Robert Andrew Johnson
19995,54491b1dc3a3680faa001b8c,Art,0,Assistant Art Director,Mike Stassi
19995,54491b79c3a3680fbb001826,Art,0,Construction Coordinator,John Villarino
19995,54491baec3a3680fb4001ce6,Art,2,Assistant Art Director,Jeffrey Wisniewski
19995,54491d2fc3a3680fb4001d07,Editing,0,Dialogue Editor,Cheryl Nardi
19995,54491d86c3a3680fa5001b2f,Editing,0,Dialogue Editor,Marshall Winn
19995,54491d9dc3a3680faa001bb0,Sound,0,Supervising Sound Editor,Gwendolyn Yates Whittle
19995,54491dc10e0a267486001bce,Sound,0,Sound Re-Recording Mixer,William Stein
19995,54491f500e0a26747c001c07,Crew,0,Choreographer,Lula Washington
